Accident_Index,Long,Lat,Accident_Severity,Severity_ctx,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Day_ctx,Time,Speed_limit,Light_Conditions,Light_ctx,Weather_Conditions,Road_Surface_Conditions
201501CW10625,-0.13501,51.485662,1,Slight,2,1,12/05/2015,3,Tuesday,18:10:00,30,1,Daylight,1,1
201501CW11545,-0.135029,51.48872,1,Slight,2,1,13/10/2015,3,Tuesday,12:50:00,30,1,Daylight,1,1
201501EK40712,-0.135541,51.525597,1,Slight,1,1,14/07/2015,3,Tuesday,16:45:00,40,1,Daylight,1,1
201501CW10422,-0.135849,51.489812,1,Slight,1,1,14/04/2015,3,Tuesday,18:54:00,30,1,Daylight,1,1
201501EK40634,-0.135857,51.531987,1,Slight,2,1,28/07/2015,3,Tuesday,15:51:00,30,1,Daylight,1,1
201501CW11383,-0.136144,51.503755,1,Slight,1,1,15/09/2015,3,Tuesday,16:55:00,30,1,Daylight,1,1
201501CW10740,-0.136176,51.485321,1,Slight,2,1,02/06/2015,3,Tuesday,19:30:00,30,1,Daylight,1,1
201501CW10398,-0.136288,51.503757,1,Slight,1,1,07/04/2015,3,Tuesday,09:40:00,30,1,Daylight,1,1
201501EK41043,-0.136402,51.525701,1,Slight,2,1,24/11/2015,3,Tuesday,07:48:00,40,1,Daylight,2,2
201501EK40553,-0.136848,51.521841,1,Slight,2,1,07/07/2015,3,Tuesday,09:56:00,30,1,Daylight,1,1
